tile_id,scene_id,split_use,i,j,crs,px_size,col_off,row_off,stretch_lo_r,stretch_lo_g,stretch_lo_b,stretch_hi_r,stretch_hi_g,stretch_hi_b,gamma_exponent,qgis_gamma,lo_pct,hi_pct,target_median,fit_basis,nodata_frac,src_raster,done_at
CBERS_4A_WPM_20200715_212_151_L4_42_18,CBERS_4A_WPM_20200715_212_151_L4,train,42,18,EPSG:32721,2.0,43008,18432,129.0,163.0,230.0,516.0,342.0,364.0,0.774,1.292,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20200715_212_151_L4_FUSED.tif,2026-08-18T13:37:21+00:00
CBERS_4A_WPM_20200730_209_151_L4_28_47,CBERS_4A_WPM_20200730_209_151_L4,train,28,47,EPSG:32722,2.0,28672,48128,48.0,116.0,176.0,138.0,261.0,324.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20200730_209_151_L4_FUSED.tif,2026-08-18T13:37:22+00:00
CBERS_4A_WPM_20200730_209_152_L4_28_46,CBERS_4A_WPM_20200730_209_152_L4,train,28,46,EPSG:32722,2.0,28672,47104,48.0,115.0,177.0,152.0,261.0,327.0,0.9158,1.092,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20200730_209_152_L4_FUSED.tif,2026-08-18T13:37:25+00:00
CBERS_4A_WPM_20200730_209_152_L4_32_33,CBERS_4A_WPM_20200730_209_152_L4,train,32,33,EPSG:32722,2.0,32768,33792,48.0,115.0,177.0,152.0,261.0,327.0,0.6746,1.482,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20200730_209_152_L4_FUSED.tif,2026-08-18T13:37:25+00:00
CBERS_4A_WPM_20200730_209_152_L4_42_27,CBERS_4A_WPM_20200730_209_152_L4,train,42,27,EPSG:32722,2.0,43008,27648,48.0,115.0,177.0,152.0,261.0,327.0,0.9215,1.085,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20200730_209_152_L4_FUSED.tif,2026-08-18T13:37:25+00:00
CBERS_4A_WPM_20210701_210_151_L4_21_18,CBERS_4A_WPM_20210701_210_151_L4,train,21,18,EPSG:32721,2.0,21504,18432,55.0,68.0,101.0,155.0,147.0,168.0,0.877,1.14,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210701_210_151_L4_FUSED.tif,2026-08-18T13:37:26+00:00
CBERS_4A_WPM_20210701_210_151_L4_44_28,CBERS_4A_WPM_20210701_210_151_L4,train,44,28,EPSG:32721,2.0,45056,28672,55.0,68.0,101.0,155.0,147.0,168.0,1.2,0.833,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210701_210_151_L4_FUSED.tif,2026-08-18T13:37:26+00:00
CBERS_4A_WPM_20210701_210_152_L4_39_31,CBERS_4A_WPM_20210701_210_152_L4,train,39,31,EPSG:32721,2.0,39936,31744,79.0,89.0,127.0,164.0,144.0,180.0,0.5632,1.776,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210701_210_152_L4_FUSED.tif,2026-08-18T13:37:27+00:00
CBERS_4A_WPM_20210701_210_153_L4_38_25,CBERS_4A_WPM_20210701_210_153_L4,train,38,25,EPSG:32721,2.0,38912,25600,98.0,105.0,145.0,171.0,155.0,191.0,0.9944,1.006,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210701_210_153_L4_FUSED.tif,2026-08-18T13:37:28+00:00
CBERS_4A_WPM_20210711_208_155_L4_29_30,CBERS_4A_WPM_20210711_208_155_L4,test,29,30,EPSG:32722,2.0,29696,30720,61.0,78.0,113.0,188.0,161.0,190.0,0.4347,2.301,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210711_208_155_L4_FUSED.tif,2026-08-18T13:37:30+00:00
CBERS_4A_WPM_20210711_208_155_L4_33_13,CBERS_4A_WPM_20210711_208_155_L4,test,33,13,EPSG:32722,2.0,33792,13312,61.0,78.0,113.0,188.0,161.0,190.0,0.4843,2.065,2.0,99.5,128.0,scene_endpoints+tile_gamma,0.0,CBERS_4A_WPM_20210711_208_155_L4_FUSED.tif,2026-08-18T13:37:30+00:00
